iter	Passed	Remaining
0	147	147626
1	147	73844
2	148	49266
3	148	36984
4	148	29588
5	148	24684
6	149	21174
7	149	18546
8	149	16504
9	150	14874
10	150	13531
11	150	12401
12	150	11458
13	151	10638
14	151	9933
15	151	9322
16	151	8783
17	152	8303
18	152	7872
19	152	7485
20	153	7137
21	153	6816
22	153	6523
23	153	6252
24	153	6005
25	154	5777
26	154	5567
27	154	5370
28	154	5188
29	155	5017
30	155	4858
31	155	4711
32	156	4573
33	156	4443
34	156	4318
35	156	4198
36	156	4086
37	157	3979
38	157	3877
39	157	3783
40	157	3691
41	158	3606
42	158	3525
43	158	3447
44	158	3373
45	159	3302
46	159	3232
47	159	3166
48	159	3104
49	160	3044
50	160	2984
51	160	2929
52	161	2877
53	161	2826
54	161	2777
55	161	2728
56	162	2683
57	162	2636
58	162	2593
59	162	2551
60	163	2510
61	163	2469
62	163	2431
63	163	2393
64	163	2357
65	164	2323
66	164	2290
67	164	2257
68	164	2226
69	165	2194
70	165	2164
71	165	2134
72	165	2106
73	166	2077
74	166	2050
75	166	2024
76	166	2000
77	167	1975
78	167	1952
79	167	1928
80	167	1904
81	168	1882
82	168	1860
83	168	1839
84	168	1817
85	169	1797
86	169	1776
87	169	1757
88	169	1738
89	169	1718
90	170	1700
91	170	1683
92	170	1665
93	170	1647
94	171	1631
95	171	1615
96	171	1599
97	172	1584
98	172	1569
99	172	1554
100	172	1539
101	173	1524
102	173	1510
103	173	1495
104	173	1482
105	174	1469
106	174	1455
107	174	1443
108	174	1429
109	175	1417
110	175	1404
111	175	1393
112	175	1380
113	176	1369
114	176	1357
115	176	1347
116	176	1335
117	177	1324
118	177	1313
119	177	1303
120	178	1293
121	178	1283
122	178	1274
123	178	1264
124	179	1254
125	179	1245
126	179	1235
127	180	1226
128	180	1217
129	180	1208
130	180	1200
131	181	1192
132	181	1183
133	181	1174
134	182	1166
135	182	1158
136	182	1151
137	183	1143
138	183	1135
139	183	1128
140	184	1121
141	184	1114
142	184	1106
143	184	1099
144	185	1092
145	185	1084
146	185	1077
147	186	1071
148	186	1064
149	186	1057
150	186	1051
151	187	1044
152	187	1038
153	187	1031
154	188	1025
155	188	1019
156	188	1013
157	189	1007
158	189	1001
159	189	995
160	189	989
161	190	983
162	190	978
163	190	972
164	191	966
165	191	961
166	191	955
167	191	950
168	192	945
169	192	939
170	192	934
171	193	929
172	193	924
173	193	919
174	193	914
175	194	909
176	194	904
177	194	899
178	195	894
179	195	889
180	195	885
181	195	880
182	196	875
183	196	871
184	196	866
185	197	862
186	197	857
187	197	853
188	197	849
189	198	845
190	198	841
191	198	836
192	199	832
193	199	828
194	199	824
195	200	820
196	200	816
197	200	812
198	201	809
199	201	805
200	201	801
201	201	797
202	202	793
203	202	790
204	202	786
205	203	782
206	203	779
207	203	775
208	204	772
209	204	768
210	204	764
211	204	761
212	205	757
213	205	754
214	205	751
215	206	747
216	206	744
217	206	741
218	206	737
219	207	734
220	207	731
221	207	728
222	208	725
223	208	722
224	208	719
225	209	716
226	209	712
227	209	709
228	209	706
229	210	703
230	210	701
231	210	698
232	211	695
233	211	692
234	211	689
235	212	686
236	212	683
237	212	680
238	213	678
239	213	675
240	213	673
241	214	670
242	214	667
243	214	665
244	214	662
245	215	659
246	215	657
247	215	654
248	216	652
249	216	649
250	216	646
251	217	644
252	217	641
253	217	639
254	217	636
255	218	634
256	218	632
257	218	629
258	219	627
259	219	625
260	219	622
261	220	620
262	220	617
263	220	615
264	221	613
265	221	611
266	221	608
267	222	606
268	222	604
269	222	602
270	222	599
271	223	597
272	223	595
273	223	593
274	224	591
275	224	588
276	224	586
277	225	584
278	225	582
279	225	580
280	226	578
281	226	576
282	226	574
283	227	572
284	227	570
285	227	568
286	228	566
287	228	564
288	228	562
289	228	560
290	229	558
291	229	556
292	229	554
293	230	552
294	230	550
295	230	548
296	231	547
297	231	545
298	231	543
299	232	541
300	232	539
301	232	537
302	232	535
303	233	534
304	233	532
305	234	530
306	234	529
307	234	527
308	235	525
309	235	524
310	235	522
311	236	520
312	236	518
313	236	517
314	237	515
315	237	513
316	237	512
317	237	510
318	238	508
319	238	507
320	238	505
321	239	503
322	239	502
323	239	500
324	240	499
325	240	497
326	240	495
327	241	494
328	241	492
329	241	491
330	242	489
331	242	488
332	242	486
333	243	484
334	243	483
335	243	481
336	244	480
337	244	478
338	244	477
339	245	475
340	245	474
341	245	472
342	246	471
343	246	470
344	246	468
345	247	467
346	247	465
347	247	464
348	248	462
349	248	461
350	248	460
351	249	458
352	249	457
353	249	455
354	250	454
355	250	452
356	250	451
357	250	450
358	251	448
359	251	447
360	251	445
361	252	444
362	252	443
363	252	441
364	253	440
365	253	439
366	253	437
367	254	436
368	254	435
369	254	433
370	255	432
371	255	431
372	255	429
373	255	428
374	256	427
375	256	425
376	256	424
377	257	423
378	257	421
379	257	420
380	258	419
381	258	418
382	258	416
383	259	415
384	259	414
385	259	412
386	259	411
387	260	410
388	260	409
389	260	408
390	261	406
391	261	405
392	261	404
393	262	403
394	262	401
395	262	400
396	263	399
397	263	398
398	263	397
399	263	395
400	264	394
401	264	393
402	264	392
403	265	391
404	265	390
405	265	389
406	266	387
407	266	386
408	266	385
409	267	384
410	267	383
411	267	382
412	268	381
413	268	380
414	268	378
415	269	377
416	269	376
417	269	375
418	270	374
419	270	373
420	270	372
421	270	371
422	271	369
423	271	368
424	271	367
425	272	366
426	272	365
427	272	364
428	273	363
429	273	362
430	274	361
431	274	360
432	274	359
433	275	358
434	275	357
435	275	356
436	276	355
437	276	354
438	276	353
439	277	352
440	277	352
441	278	351
442	278	350
443	278	349
444	279	348
445	279	347
446	280	346
447	280	345
448	280	344
449	281	343
450	281	342
451	281	341
452	282	340
453	282	339
454	282	338
455	283	337
456	283	336
457	283	335
458	284	334
459	284	333
460	284	333
461	285	332
462	285	331
463	285	330
464	286	329
465	286	328
466	286	327
467	287	326
468	287	325
469	287	324
470	288	323
471	288	322
472	288	321
473	289	320
474	289	319
475	289	319
476	290	318
477	290	317
478	290	316
479	291	315
480	291	314
481	291	313
482	292	312
483	292	311
484	292	311
485	293	310
486	293	309
487	293	308
488	294	307
489	294	306
490	294	305
491	295	304
492	295	304
493	295	303
494	296	302
495	296	301
496	297	300
497	297	299
498	297	298
499	298	298
500	298	297
501	298	296
502	299	295
503	299	294
504	299	293
505	299	292
506	300	292
507	300	291
508	301	290
509	301	289
510	301	288
511	302	287
512	302	287
513	302	286
514	303	285
515	303	284
516	303	283
517	304	282
518	304	282
519	304	281
520	305	280
521	305	279
522	305	278
523	306	278
524	306	277
525	306	276
526	307	275
527	307	275
528	307	274
529	308	273
530	308	272
531	308	271
532	309	271
533	309	270
534	309	269
535	310	268
536	310	267
537	311	267
538	311	266
539	311	265
540	312	264
541	312	264
542	312	263
543	313	262
544	313	261
545	313	261
546	314	260
547	314	259
548	314	258
549	315	257
550	315	257
551	315	256
552	316	255
553	316	254
554	316	254
555	317	253
556	317	252
557	317	251
558	318	251
559	318	250
560	319	249
561	319	248
562	319	248
563	320	247
564	320	246
565	320	246
566	321	245
567	321	244
568	321	243
569	322	243
570	322	242
571	322	241
572	323	240
573	323	240
574	324	239
575	325	239
576	326	239
577	327	238
578	327	238
579	327	237
580	328	236
581	328	235
582	328	235
583	329	234
584	329	233
585	329	233
586	330	232
587	330	231
588	330	230
589	331	230
590	331	229
591	331	228
592	332	228
593	332	227
594	332	226
595	333	225
596	333	225
597	333	224
598	334	223
599	334	223
600	334	222
601	335	221
602	335	220
603	335	220
604	336	219
605	336	218
606	337	218
607	337	217
608	337	216
609	337	216
610	338	215
611	338	214
612	338	213
613	339	213
614	339	212
615	340	211
616	340	211
617	340	210
618	341	209
619	341	209
620	341	208
621	342	207
622	342	207
623	342	206
624	343	205
625	343	205
626	343	204
627	344	203
628	344	203
629	344	202
630	345	201
631	345	201
632	345	200
633	346	199
634	346	199
635	347	198
636	347	197
637	347	197
638	348	196
639	348	195
640	348	195
641	349	194
642	349	193
643	349	193
644	350	192
645	350	192
646	350	191
647	351	190
648	351	190
649	351	189
650	352	188
651	352	188
652	352	187
653	353	186
654	353	186
655	353	185
656	354	184
657	354	184
658	354	183
659	355	183
660	355	182
661	356	181
662	356	181
663	356	180
664	357	179
665	357	179
666	358	178
667	358	178
668	358	177
669	359	176
670	359	176
671	360	175
672	360	175
673	361	174
674	361	174
675	361	173
676	362	172
677	362	172
678	363	171
679	363	171
680	363	170
681	364	169
682	364	169
683	365	168
684	365	168
685	365	167
686	366	166
687	366	166
688	367	165
689	367	165
690	367	164
691	368	163
692	368	163
693	368	162
694	369	162
695	369	161
696	370	160
697	370	160
698	370	159
699	371	159
700	371	158
701	371	157
702	372	157
703	372	156
704	372	156
705	373	155
706	373	154
707	373	154
708	374	153
709	374	153
710	375	152
711	375	151
712	375	151
713	375	150
714	376	150
715	376	149
716	377	148
717	377	148
718	377	147
719	378	147
720	378	146
721	378	145
722	379	145
723	379	144
724	379	144
725	380	143
726	380	142
727	380	142
728	381	141
729	381	141
730	381	140
731	382	139
732	382	139
733	383	138
734	383	138
735	383	137
736	384	137
737	384	136
738	384	135
739	385	135
740	385	134
741	385	134
742	386	133
743	386	132
744	386	132
745	387	131
746	387	131
747	387	130
748	388	130
749	388	129
750	388	128
751	389	128
752	389	127
753	389	127
754	390	126
755	390	126
756	390	125
757	391	124
758	391	124
759	391	123
760	392	123
761	392	122
762	393	122
763	393	121
764	393	120
765	394	120
766	394	119
767	394	119
768	395	118
769	395	118
770	396	117
771	396	117
772	396	116
773	397	115
774	397	115
775	397	114
776	398	114
777	398	113
778	398	113
779	399	112
780	399	112
781	399	111
782	400	110
783	400	110
784	401	109
785	401	109
786	401	108
787	402	108
788	402	107
789	402	107
790	403	106
791	403	105
792	403	105
793	404	104
794	404	104
795	404	103
796	405	103
797	405	102
798	406	102
799	406	101
800	406	101
801	407	100
802	407	99
803	407	99
804	408	98
805	408	98
806	408	97
807	409	97
808	409	96
809	409	96
810	410	95
811	410	95
812	410	94
813	411	93
814	411	93
815	411	92
816	412	92
817	412	91
818	412	91
819	413	90
820	413	90
821	414	89
822	414	89
823	414	88
824	415	88
825	415	87
826	415	86
827	416	86
828	416	85
829	416	85
830	417	84
831	417	84
832	417	83
833	418	83
834	418	82
835	418	82
836	419	81
837	419	81
838	420	80
839	420	80
840	420	79
841	421	79
842	421	78
843	421	77
844	422	77
845	422	76
846	422	76
847	423	75
848	423	75
849	423	74
850	424	74
851	424	73
852	425	73
853	425	72
854	425	72
855	426	71
856	426	71
857	426	70
858	427	70
859	427	69
860	427	69
861	428	68
862	428	68
863	429	67
864	429	67
865	429	66
866	430	65
867	430	65
868	430	64
869	431	64
870	431	63
871	431	63
872	432	62
873	432	62
874	433	61
875	433	61
876	433	60
877	434	60
878	434	59
879	435	59
880	435	58
881	436	58
882	436	57
883	436	57
884	437	56
885	437	56
886	437	55
887	438	55
888	438	54
889	439	54
890	439	53
891	439	53
892	440	52
893	440	52
894	440	51
895	441	51
896	441	50
897	442	50
898	442	49
899	442	49
900	443	48
901	443	48
902	444	47
903	444	47
904	444	46
905	445	46
906	445	45
907	445	45
908	446	44
909	446	44
910	446	43
911	447	43
912	447	42
913	447	42
914	448	41
915	448	41
916	448	40
917	449	40
918	449	39
919	449	39
920	450	38
921	450	38
922	451	37
923	451	37
924	451	36
925	452	36
926	452	35
927	452	35
928	453	34
929	453	34
930	454	33
931	454	33
932	454	32
933	455	32
934	455	31
935	455	31
936	456	30
937	456	30
938	456	29
939	457	29
940	457	28
941	457	28
942	458	27
943	458	27
944	459	26
945	459	26
946	459	25
947	460	25
948	460	24
949	460	24
950	461	23
951	461	23
952	461	22
953	462	22
954	462	21
955	462	21
956	463	20
957	463	20
958	463	19
959	464	19
960	464	18
961	464	18
962	465	17
963	465	17
964	466	16
965	466	16
966	466	15
967	467	15
968	467	14
969	467	14
970	468	13
971	468	13
972	469	13
973	469	12
974	469	12
975	470	11
976	470	11
977	470	10
978	471	10
979	471	9
980	471	9
981	472	8
982	472	8
983	472	7
984	473	7
985	473	6
986	473	6
987	474	5
988	474	5
989	475	4
990	475	4
991	475	3
992	476	3
993	476	2
994	476	2
995	477	1
996	477	1
997	477	0
998	478	0
999	478	0
